"","Date","PM2.5.AQI.Value","Site.Name","Site.ID","Source","X20.year.High..2000.2019.","X20.year.Low..2000.2019.","X5.year.Average..2015.2019.","Date.of.20.year.High","Date.of.20.year.Low"
"444","03/19/2017",48,"El Cajon - Lexington Elementary School","06-073-1022","AQS",109,24,"53.6","03/19/2004","03/19/2005"
"445","03/20/2017",46,"Alpine","06-073-1006","AQS",111,29,"52","03/20/2004","03/20/2007"
"446","03/21/2017",18,"Alpine","06-073-1006","AQS",113,18,"46.2","03/21/2004","03/21/2017"
"447","03/22/2017",23,"El Cajon - Lexington Elementary School","06-073-1022","AQS",106,23,"39.8","03/22/2004","03/22/2017"
"448","03/23/2017",28,"Camp Pendleton","06-073-1008","AQS",72,20,"38.8","03/23/2004","03/23/2005"
"449","03/24/2017",32,"Camp Pendleton","06-073-1008","AQS",90,21,"40.4","03/24/2001","03/24/2005"
"450","03/25/2017",27,"Camp Pendleton","06-073-1008","AQS",76,27,"45.8","03/25/2008","03/25/2017"
"451","03/26/2017",28,"Camp Pendleton","06-073-1008","AQS",80,25,"48","03/26/2014","03/26/2012"
"452","03/27/2017",32,"Camp Pendleton","06-073-1008","AQS",69,23,"54.2","03/27/2019","03/27/2007"
"453","03/28/2017",38,"Camp Pendleton","06-073-1008","AQS",89,29,"54.4","03/28/2001","03/28/2010"
"454","03/29/2017",39,"El Cajon - Lexington Elementary School","06-073-1022","AQS",96,20,"47.4","03/29/2001","03/29/2006"
"455","03/30/2017",60,"La Posta Reservation","06-073-1011","AQS",102,30,"55.8","03/30/2001","03/30/2016"
"456","03/31/2017",58,"El Cajon - Lexington Elementary School","06-073-1022","AQS",93,26,"56","03/31/2002","03/31/2006"
"457","04/01/2017",54,"El Cajon - Lexington Elementary School","06-073-1022","AQS",94,27,"61.4","04/01/2002","04/01/2010"
"458","04/02/2017",52,"Camp Pendleton","06-073-1008","AQS",84,24,"61.4","04/02/2002","04/02/2003"
"459","04/03/2017",35,"Pala Airpad","06-073-1201","AQS",75,25,"57.4","04/03/2002","04/03/2008"
"460","04/04/2017",27,"Chula Vista","06-073-0001","AQS",92,27,"49.2","04/04/2000","04/04/2017"
"461","04/05/2017",46,"Camp Pendleton","06-073-1008","AQS",74,23,"49.8","04/05/2000","04/05/2019"
"462","04/06/2017",59,"Donovan","06-073-1014","AQS",73,19,"48.8","04/06/2000","04/06/2019"
"463","04/07/2017",53,"Chula Vista","06-073-0001","AQS",83,30,"53.4","04/07/2000","04/07/2006"
"464","04/08/2017",38,"La Posta Reservation","06-073-1011","AQS",92,23,"46.2","04/08/2000","04/08/2007"
"465","04/09/2017",29,"La Posta Reservation","06-073-1011","AQS",75,21,"48.8","04/09/2002","04/09/2006"
"466","04/10/2017",40,"Donovan","06-073-1014","AQS",87,20,"50","04/10/2002","04/10/2016"
"467","04/11/2017",51,"Donovan","06-073-1014","AQS",65,27,"51.6","04/11/2002","04/11/2012"
"468","04/12/2017",38,"Alpine","06-073-1006","AQS",74,20,"50","04/12/2002","04/12/2001"
"469","04/13/2017",30,"Camp Pendleton","06-073-1008","AQS",70,15,"53.8","04/13/2019","04/13/2003"
"470","04/14/2017",30,"Kearny Villa Rd.","06-073-1016","AQS",82,20,"48.8","04/14/2002","04/14/2000"
"471","04/15/2017",54,"Donovan","06-073-1014","AQS",75,21,"57.8","04/15/2011","04/15/2006"
"472","04/16/2017",62,"Donovan","06-073-1014","AQS",74,14,"56.4","04/16/2011","04/16/2006"
"473","04/17/2017",27,"Camp Pendleton","06-073-1008","AQS",66,20,"48.8","04/17/2011","04/17/2000"
"474","04/18/2017",18,"Camp Pendleton","06-073-1008","AQS",67,18,"49.4","04/18/2015","04/18/2017"
"475","04/19/2017",16,"Camp Pendleton","06-073-1008","AQS",64,16,"47.4","04/19/2012","04/19/2017"
"476","04/20/2017",68,"Donovan","06-073-1014","AQS",72,23,"55.8","04/20/2012","04/20/2007"
"477","04/21/2017",63,"Donovan","06-073-1014","AQS",81,27,"54.4","04/21/2012","04/21/2001"
"478","04/22/2017",72,"Donovan","06-073-1014","AQS",78,17,"50.2","04/22/2012","04/22/2006"
"479","04/23/2017",66,"Donovan","06-073-1014","AQS",66,21,"52.8","04/23/2017","04/23/2006"
"480","04/24/2017",50,"Donovan","06-073-1014","AQS",78,22,"56.2","04/24/2019","04/24/2005"
"481","04/25/2017",43,"Camp Pendleton","06-073-1008","AQS",79,26,"56","04/25/2019","04/25/2003"
"482","04/26/2017",43,"Alpine","06-073-1006","AQS",89,23,"57.6","04/26/2014","04/26/2012"
"483","04/27/2017",46,"Alpine","06-073-1006","AQS",82,27,"57.6","04/27/2001","04/27/2006"
"484","04/28/2017",60,"Donovan","06-073-1014","AQS",72,26,"58.8","04/28/2013","04/28/2002"
"485","04/29/2017",38,"Donovan","06-073-1014","AQS",99,26,"55.2","04/29/2014","04/29/2002"
"486","04/30/2017",41,"Camp Pendleton","06-073-1008","AQS",79,24,"52.4","04/30/2001","04/30/2002"
"487","05/01/2017",51,"Donovan","06-073-1014","AQS",96,27,"51.8","05/01/2001","05/01/2002"
"488","05/02/2017",73,"Donovan","06-073-1014","AQS",73,29,"60.4","05/02/2017","05/02/2005"
"489","05/03/2017",63,"Donovan","06-073-1014","AQS",71,23,"60","05/03/2019","05/03/2003"
"490","05/04/2017",56,"Alpine","06-073-1006","AQS",83,26,"61","05/04/2019","05/04/2007"
"491","05/05/2017",53,"Alpine","06-073-1006","AQS",82,19,"54.8","05/05/2019","05/05/2008"
"492","05/06/2017",34,"Camp Pendleton","06-073-1008","AQS",81,25,"47.4","05/06/2011","05/06/2005"
"493","05/07/2017",23,"Camp Pendleton","06-073-1008","AQS",77,21,"37.4","05/07/2001","05/07/2008"
"494","05/08/2017",35,"Camp Pendleton","06-073-1008","AQS",80,23,"37","05/08/2012","05/08/2000"
"495","05/09/2017",46,"Camp Pendleton","06-073-1008","AQS",77,21,"43.2","05/09/2012","05/09/2005"
"496","05/10/2017",30,"Camp Pendleton","06-073-1008","AQS",80,28,"42.4","05/10/2001","05/10/2005"
"497","05/11/2017",42,"Camp Pendleton","06-073-1008","AQS",91,20,"45.4","05/11/2001","05/11/2019"
"498","05/12/2017",41,"Camp Pendleton","06-073-1008","AQS",92,34,"49.4","05/12/2001","05/12/2019"
"499","05/13/2017",47,"Camp Pendleton","06-073-1008","AQS",101,31,"47.2","05/13/2014","05/13/2018"
"500","05/14/2017",48,"Camp Pendleton","06-073-1008","AQS",87,33,"47","05/14/2014","05/14/2018"
"501","05/15/2017",37,"Camp Pendleton","06-073-1008","AQS",75,25,"40.8","05/15/2009","05/15/2015"
"502","05/16/2017",40,"Camp Pendleton","06-073-1008","AQS",84,20,"43.6","05/16/2014","05/16/2000"
"503","05/17/2017",35,"La Posta Reservation","06-073-1011","AQS",86,32,"38.4","05/17/2006","05/17/2018"
"504","05/18/2017",30,"Alpine","06-073-1006","AQS",71,30,"40","05/18/2012","05/18/2017"
"505","05/19/2017",43,"Camp Pendleton","06-073-1008","AQS",74,32,"46","05/19/2012","05/19/2015"
"506","05/20/2017",49,"Camp Pendleton","06-073-1008","AQS",159,21,"42.6","05/20/2006","05/20/2002"
"507","05/21/2017",46,"El Cajon - Lexington Elementary School","06-073-1022","AQS",74,25,"34.4","05/21/2012","05/21/2002"
"508","05/22/2017",38,"Chula Vista","06-073-0001","AQS",81,20,"36.4","05/22/2013","05/22/2006"
"509","05/23/2017",43,"El Cajon - Lexington Elementary School","06-073-1022","AQS",77,21,"36.8","05/23/2001","05/23/2015"
"510","05/24/2017",38,"Pala Airpad","06-073-1201","AQS",73,25,"39","05/24/2001","05/24/2016"
"511","05/25/2017",32,"Alpine","06-073-1006","AQS",65,20,"31.2","05/25/2001","05/25/2016"
"512","05/26/2017",18,"Alpine","06-073-1006","AQS",74,18,"31.4","05/26/2005","05/26/2017"
"513","05/27/2017",14,"Alpine","06-073-1006","AQS",67,14,"33.8","05/27/2009","05/27/2017"
"514","05/28/2017",27,"Chula Vista","06-073-0001","AQS",67,27,"40.6","05/28/2009","05/28/2017"
"515","05/29/2017",46,"Donovan","06-073-1014","AQS",62,26,"50.2","05/29/2003","05/29/2008"
"516","05/30/2017",51,"Donovan","06-073-1014","AQS",68,35,"54.4","05/30/2015","05/30/2009"
"517","05/31/2017",47,"Alpine","06-073-1006","AQS",86,30,"53","05/31/2001","05/31/2009"
"518","06/01/2017",30,"Alpine","06-073-1006","AQS",181,30,"49.6","06/01/2010","06/01/2017"
"519","06/02/2017",49,"Alpine","06-073-1006","AQS",68,27,"52.2","06/02/2013","06/02/2005"
"520","06/03/2017",53,"Donovan","06-073-1014","AQS",63,35,"53","06/03/2016","06/03/2001"
"521","06/04/2017",43,"Alpine","06-073-1006","AQS",65,25,"51.6","06/04/2016","06/04/2008"
"522","06/05/2017",46,"Donovan","06-073-1014","AQS",85,17,"54.2","06/05/2002","06/05/2009"
"523","06/06/2017",41,"Alpine","06-073-1006","AQS",91,19,"47.8","06/06/2001","06/06/2009"
"524","06/07/2017",39,"Alpine","06-073-1006","AQS",76,22,"48.2","06/07/2001","06/07/2009"
"525","06/08/2017",40,"El Cajon - Lexington Elementary School","06-073-1022","AQS",79,27,"52.4","06/08/2001","06/08/2000"
"526","06/09/2017",30,"El Cajon - Lexington Elementary School","06-073-1022","AQS",76,21,"51.4","06/09/2001","06/09/2003"
"527","06/10/2017",21,"Alpine","06-073-1006","AQS",76,21,"51.8","06/10/2019","06/10/2003"
"528","06/11/2017",26,"Alpine","06-073-1006","AQS",70,26,"44.6","06/11/2012","06/11/2017"
"529","06/12/2017",32,"Chula Vista","06-073-0001","AQS",67,0,"46.4","06/12/2012","06/12/2000"
"530","06/13/2017",45,"Pala Airpad","06-073-1201","AQS",80,28,"44.6","06/13/2006","06/13/2015"
"531","06/14/2017",53,"El Cajon - Lexington Elementary School","06-073-1022","AQS",81,33,"52.6","06/14/2000","06/14/2015"
"532","06/15/2017",56,"El Cajon - Lexington Elementary School","06-073-1022","AQS",84,28,"57","06/15/2010","06/15/2009"
"533","06/16/2017",57,"Pala Airpad","06-073-1201","AQS",75,15,"60","06/16/2010","06/16/2008"
"534","06/17/2017",51,"El Cajon - Lexington Elementary School","06-073-1022","AQS",85,31,"62.4","06/17/2003","06/17/2005"
"535","06/18/2017",43,"El Cajon - Lexington Elementary School","06-073-1022","AQS",97,24,"54.2","06/18/2016","06/18/2005"
"536","06/19/2017",45,"El Cajon - Lexington Elementary School","06-073-1022","AQS",92,31,"56.2","06/19/2002","06/19/2005"
"537","06/20/2017",48,"Donovan","06-073-1014","AQS",74,34,"60.8","06/20/2016","06/20/2003"
"538","06/21/2017",44,"El Cajon - Lexington Elementary School","06-073-1022","AQS",76,32,"55.6","06/21/2002","06/21/2008"
"539","06/22/2017",45,"Donovan","06-073-1014","AQS",67,24,"51.2","06/22/2011","06/22/2019"
"540","06/23/2017",42,"Alpine","06-073-1006","AQS",68,34,"50.6","06/23/2008","06/23/2019"
"541","06/24/2017",41,"Alpine","06-073-1006","AQS",70,41,"56.6","06/24/2010","06/24/2017"
"542","06/25/2017",62,"Donovan","06-073-1014","AQS",69,36,"59.8","06/25/2016","06/25/2005"
"543","06/26/2017",75,"Donovan","06-073-1014","AQS",75,22,"61.6","06/26/2017","06/26/2010"
"544","06/27/2017",72,"Donovan","06-073-1014","AQS",95,27,"58.2","06/27/2001","06/27/2010"
"545","06/28/2017",46,"Donovan","06-073-1014","AQS",69,29,"50.2","06/28/2008","06/28/2001"
"546","06/29/2017",44,"El Cajon - Lexington Elementary School","06-073-1022","AQS",66,25,"53.6","06/29/2009","06/29/2010"
"547","06/30/2017",60,"Donovan","06-073-1014","AQS",76,31,"62.8","06/30/2001","06/30/2011"
"548","07/01/2017",62,"Donovan","06-073-1014","AQS",77,18,"60.8","07/01/2010","07/01/2004"
"549","07/02/2017",55,"Donovan","06-073-1014","AQS",76,29,"52.2","07/02/2008","07/02/2018"
"550","07/03/2017",51,"Donovan","06-073-1014","AQS",93,36,"50.2","07/03/2008","07/03/2002"
"551","07/04/2017",51,"Donovan","06-073-1014","AQS",107,34,"51","07/04/2008","07/04/2015"
"552","07/05/2017",52,"Donovan","06-073-1014","AQS",117,25,"52.2","07/05/2008","07/05/2015"
"553","07/06/2017",51,"Donovan","06-073-1014","AQS",82,22,"49.8","07/06/2008","07/06/2013"
"554","07/07/2017",57,"Donovan","06-073-1014","AQS",81,30,"55.6","07/07/2008","07/07/2013"
"555","07/08/2017",70,"Donovan","06-073-1014","AQS",80,33,"61","07/08/2008","07/08/2004"
"556","07/09/2017",78,"Donovan","06-073-1014","AQS",79,30,"58","07/09/2008","07/09/2004"
"557","07/10/2017",63,"Donovan","06-073-1014","AQS",65,27,"54.2","07/10/2019","07/10/2015"
"558","07/11/2017",52,"Alpine","06-073-1006","AQS",73,18,"52","07/11/2012","07/11/2015"
"559","07/12/2017",35,"Donovan","06-073-1014","AQS",72,25,"50.8","07/12/2012","07/12/2015"
"560","07/13/2017",51,"Camp Pendleton","06-073-1008","AQS",75,36,"55.2","07/13/2012","07/13/2007"
"561","07/14/2017",37,"El Cajon - Lexington Elementary School","06-073-1022","AQS",75,37,"55","07/14/2019","07/14/2017"
"562","07/15/2017",53,"Alpine","06-073-1006","AQS",74,40,"59.6","07/15/2019","07/15/2000"
"563","07/16/2017",60,"Alpine","06-073-1006","AQS",73,39,"58.4","07/16/2019","07/16/2001"
"564","07/17/2017",56,"Alpine","06-073-1006","AQS",73,34,"55.4","07/17/2003","07/17/2014"
"565","07/18/2017",54,"Donovan","06-073-1014","AQS",64,24,"51.8","07/18/2019","07/18/2014"
"566","07/19/2017",48,"Alpine","06-073-1006","AQS",65,28,"50.6","07/19/2000","07/19/2014"
"567","07/20/2017",51,"Alpine","06-073-1006","AQS",70,25,"48","07/20/2000","07/20/2015"
"568","07/21/2017",53,"Alpine","06-073-1006","AQS",75,10,"42.6","07/21/2000","07/21/2015"
"569","07/22/2017",54,"Alpine","06-073-1006","AQS",74,18,"46.6","07/22/2016","07/22/2015"
"570","07/23/2017",53,"Alpine","06-073-1006","AQS",68,25,"49.4","07/23/2016","07/23/2015"
"571","07/24/2017",40,"Alpine","06-073-1006","AQS",68,38,"53","07/24/2006","07/24/2013"
"572","07/25/2017",34,"Alpine","06-073-1006","AQS",79,30,"54.4","07/25/2008","07/25/2013"
"573","07/26/2017",30,"Alpine","06-073-1006","AQS",73,30,"54.4","07/26/2008","07/26/2017"
"574","07/27/2017",40,"Donovan","06-073-1014","AQS",71,40,"54","07/27/2018","07/27/2015"
"575","07/28/2017",51,"Donovan","06-073-1014","AQS",71,28,"56.4","07/28/2008","07/28/2006"
"576","07/29/2017",57,"Donovan","06-073-1014","AQS",69,19,"60.8","07/29/2019","07/29/2006"
"577","07/30/2017",57,"Donovan","06-073-1014","AQS",77,17,"60.8","07/30/2019","07/30/2006"
"578","07/31/2017",61,"Donovan","06-073-1014","AQS",76,21,"58.6","07/31/2019","07/31/2006"
"579","08/01/2017",56,"Donovan","06-073-1014","AQS",78,32,"55.8","08/01/2019","08/01/2006"
"580","08/02/2017",53,"El Cajon - Lexington Elementary School","06-073-1022","AQS",72,35,"54","08/02/2019","08/02/2006"
"581","08/03/2017",48,"El Cajon - Lexington Elementary School","06-073-1022","AQS",69,33,"55.4","08/03/2019","08/03/2003"
"582","08/04/2017",54,"Donovan","06-073-1014","AQS",62,32,"55.4","08/04/2002","08/04/2006"
"583","08/05/2017",58,"Donovan","06-073-1014","AQS",65,34,"56.6","08/05/2008","08/05/2014"
"584","08/06/2017",62,"Donovan","06-073-1014","AQS",66,35,"59.4","08/06/2018","08/06/2007"
"585","08/07/2017",43,"Camp Pendleton","06-073-1008","AQS",75,34,"58.4","08/07/2019","08/07/2009"
"586","08/08/2017",62,"Camp Pendleton","06-073-1008","AQS",71,36,"62","08/08/2019","08/08/2013"
"587","08/09/2017",71,"Donovan","06-073-1014","AQS",73,44,"62","08/09/2002","08/09/2010"
"588","08/10/2017",59,"Donovan","06-073-1014","AQS",73,46,"61","08/10/2018","08/10/2008"
"589","08/11/2017",62,"Camp Pendleton","06-073-1008","AQS",71,40,"54.6","08/11/2002","08/11/2015"
"590","08/12/2017",66,"Camp Pendleton","06-073-1008","AQS",76,40,"51.6","08/12/2002","08/12/2015"
"591","08/13/2017",67,"Camp Pendleton","06-073-1008","AQS",79,41,"53.2","08/13/2002","08/13/2018"
"592","08/14/2017",57,"Camp Pendleton","06-073-1008","AQS",82,32,"58.4","08/14/2002","08/14/2014"
"593","08/15/2017",38,"Camp Pendleton","06-073-1008","AQS",82,30,"54.8","08/15/2002","08/15/2014"
"594","08/16/2017",44,"Camp Pendleton","06-073-1008","AQS",101,38,"56.8","08/16/2008","08/16/2014"
"595","08/17/2017",54,"Camp Pendleton","06-073-1008","AQS",74,33,"60.4","08/17/2002","08/17/2014"
"596","08/18/2017",55,"Camp Pendleton","06-073-1008","AQS",77,44,"61","08/18/2009","08/18/2005"
"597","08/19/2017",52,"Camp Pendleton","06-073-1008","AQS",74,35,"56.4","08/19/2009","08/19/2005"
"598","08/20/2017",44,"Donovan","06-073-1014","AQS",74,34,"55.6","08/20/2018","08/20/2008"
"599","08/21/2017",49,"Camp Pendleton","06-073-1008","AQS",84,36,"64.8","08/21/2018","08/21/2004"
"600","08/22/2017",53,"Camp Pendleton","06-073-1008","AQS",89,28,"67.2","08/22/2018","08/22/2004"
"601","08/23/2017",55,"Camp Pendleton","06-073-1008","AQS",97,23,"62","08/23/2013","08/23/2004"
"602","08/24/2017",60,"Camp Pendleton","06-073-1008","AQS",93,21,"69.6","08/24/2018","08/24/2004"
"603","08/25/2017",67,"Donovan","06-073-1014","AQS",110,29,"73.4","08/25/2018","08/25/2014"
"604","08/26/2017",67,"Camp Pendleton","06-073-1008","AQS",142,37,"82","08/26/2018","08/26/2004"
"605","08/27/2017",60,"Donovan","06-073-1014","AQS",91,35,"65.8","08/27/2018","08/27/2004"
"606","08/28/2017",61,"Camp Pendleton","06-073-1008","AQS",83,43,"65","08/28/2018","08/28/2007"
"607","08/29/2017",80,"Camp Pendleton","06-073-1008","AQS",80,37,"69.2","08/29/2017","08/29/2000"
"608","08/30/2017",88,"Donovan","06-073-1014","AQS",88,34,"64.4","08/30/2017","08/30/2000"
"609","08/31/2017",76,"Donovan","06-073-1014","AQS",76,31,"64.6","08/31/2017","08/31/2000"
"610","09/01/2017",72,"Donovan","06-073-1014","AQS",77,32,"66.8","09/01/2018","09/01/2013"
"611","09/02/2017",64,"Camp Pendleton","06-073-1008","AQS",74,28,"64.6","09/02/2018","09/02/2000"
"612","09/03/2017",41,"Camp Pendleton","06-073-1008","AQS",72,25,"54","09/03/2010","09/03/2000"
"613","09/04/2017",64,"Camp Pendleton","06-073-1008","AQS",64,33,"56.6","09/04/2017","09/04/2000"
"614","09/05/2017",59,"Camp Pendleton","06-073-1008","AQS",76,46,"58.2","09/05/2002","09/05/2000"
"615","09/06/2017",64,"Camp Pendleton","06-073-1008","AQS",68,39,"57","09/06/2008","09/06/2018"
"616","09/07/2017",63,"Camp Pendleton","06-073-1008","AQS",71,38,"59","09/07/2008","09/07/2002"
"617","09/08/2017",58,"Camp Pendleton","06-073-1008","AQS",71,40,"61.6","09/08/2008","09/08/2007"
"618","09/09/2017",61,"Camp Pendleton","06-073-1008","AQS",76,31,"66","09/09/2015","09/09/2010"
"619","09/10/2017",58,"Camp Pendleton","06-073-1008","AQS",62,36,"59.2","09/10/2018","09/10/2005"
"620","09/11/2017",58,"Camp Pendleton","06-073-1008","AQS",67,36,"60.4","09/11/2000","09/11/2005"
"621","09/12/2017",52,"Camp Pendleton","06-073-1008","AQS",80,34,"57.4","09/12/2000","09/12/2005"
"622","09/13/2017",53,"Camp Pendleton","06-073-1008","AQS",80,39,"50.4","09/13/2000","09/13/2016"
"623","09/14/2017",38,"Camp Pendleton","06-073-1008","AQS",85,29,"50.2","09/14/2008","09/14/2009"
"624","09/15/2017",41,"Camp Pendleton","06-073-1008","AQS",85,15,"46","09/15/2008","09/15/2015"
"625","09/16/2017",52,"Camp Pendleton","06-073-1008","AQS",77,22,"50","09/16/2000","09/16/2015"
"626","09/17/2017",61,"Camp Pendleton","06-073-1008","AQS",75,28,"53.2","09/17/2008","09/17/2015"
"627","09/18/2017",59,"Camp Pendleton","06-073-1008","AQS",78,37,"55.8","09/18/2008","09/18/2014"
"628","09/19/2017",52,"Donovan","06-073-1014","AQS",86,20,"55.2","09/19/2011","09/19/2014"
"629","09/20/2017",51,"Donovan","06-073-1014","AQS",77,25,"56.2","09/20/2001","09/20/2007"
"630","09/21/2017",45,"Camp Pendleton","06-073-1008","AQS",76,25,"58.2","09/21/2001","09/21/2007"
"631","09/22/2017",40,"Camp Pendleton","06-073-1008","AQS",81,20,"57.8","09/22/2012","09/22/2007"
"632","09/23/2017",29,"Donovan","06-073-1014","AQS",80,15,"58.6","09/23/2002","09/23/2000"
"633","09/24/2017",47,"Camp Pendleton","06-073-1008","AQS",91,23,"65.6","09/24/2015","09/24/2000"
"634","09/25/2017",48,"Donovan","06-073-1014","AQS",77,37,"58.6","09/25/2003","09/25/2014"
"635","09/26/2017",53,"Donovan","06-073-1014","AQS",99,31,"58.4","09/26/2003","09/26/2014"
"636","09/27/2017",53,"Donovan","06-073-1014","AQS",80,31,"60.8","09/27/2003","09/27/2014"
"637","09/28/2017",54,"Donovan","06-073-1014","AQS",78,24,"58.8","09/28/2018","09/28/2002"
"638","09/29/2017",57,"Donovan","06-073-1014","AQS",89,17,"55","09/29/2001","09/29/2002"
"639","09/30/2017",62,"Donovan","06-073-1014","AQS",69,22,"60.4","09/30/2015","09/30/2002"
"640","10/01/2017",54,"Donovan","06-073-1014","AQS",104,28,"57.6","10/01/2000","10/01/2002"
"641","10/02/2017",48,"Camp Pendleton","06-073-1008","AQS",96,43,"52","10/02/2000","10/02/2002"
"642","10/03/2017",58,"Camp Pendleton","06-073-1008","AQS",81,23,"56","10/03/2001","10/03/2006"
"643","10/04/2017",60,"Donovan","06-073-1014","AQS",64,24,"49","10/04/2019","10/04/2006"
"644","10/05/2017",62,"Donovan","06-073-1014","AQS",81,20,"43.4","10/05/2003","10/05/2018"
"645","10/06/2017",67,"Donovan","06-073-1014","AQS",107,22,"58","10/06/2003","10/06/2006"
"646","10/07/2017",55,"Camp Pendleton","06-073-1008","AQS",96,32,"54.6","10/07/2004","10/07/2007"
"647","10/08/2017",68,"Donovan","06-073-1014","AQS",100,33,"63.2","10/08/2004","10/08/2007"
"648","10/09/2017",66,"Camp Pendleton","06-073-1008","AQS",92,39,"62.4","10/09/2003","10/09/2013"
"649","10/10/2017",57,"Camp Pendleton","06-073-1008","AQS",77,25,"57.2","10/10/2001","10/10/2000"
"650","10/11/2017",66,"Donovan","06-073-1014","AQS",77,28,"57.6","10/11/2001","10/11/2007"
"651","10/12/2017",65,"Camp Pendleton","06-073-1008","AQS",82,22,"54.6","10/12/2001","10/12/2009"
"652","10/13/2017",69,"Camp Pendleton","06-073-1008","AQS",93,25,"56","10/13/2002","10/13/2007"
"653","10/14/2017",75,"Donovan","06-073-1014","AQS",110,21,"56.2","10/14/2002","10/14/2009"
"654","10/15/2017",71,"Camp Pendleton","06-073-1008","AQS",89,27,"52.2","10/15/2001","10/15/2006"
"655","10/16/2017",67,"Donovan","06-073-1014","AQS",98,26,"49.4","10/16/2001","10/16/2016"
"656","10/17/2017",72,"Donovan","06-073-1014","AQS",135,23,"50.2","10/17/2003","10/17/2016"
"657","10/18/2017",73,"Donovan","06-073-1014","AQS",105,25,"49.6","10/18/2003","10/18/2015"
"658","10/19/2017",81,"Donovan","06-073-1014","AQS",89,14,"57.2","10/19/2000","10/19/2004"
"659","10/20/2017",54,"La Posta Reservation","06-073-1011","AQS",118,19,"50.2","10/20/2000","10/20/2004"
"660","10/21/2017",47,"Camp Pendleton","06-073-1008","AQS",115,27,"53.4","10/21/2005","10/21/2012"
"661","10/22/2017",54,"Camp Pendleton","06-073-1008","AQS",186,31,"56.8","10/22/2007","10/22/2004"
"662","10/23/2017",56,"Camp Pendleton","06-073-1008","AQS",188,33,"62.4","10/23/2007","10/23/2012"
"663","10/24/2017",51,"Pala Airpad","06-073-1201","AQS",163,34,"63.6","10/24/2007","10/24/2012"
"664","10/25/2017",54,"Pala Airpad","06-073-1201","AQS",135,28,"58.8","10/25/2007","10/25/2010"
"665","10/26/2017",76,"Donovan","06-073-1014","AQS",176,36,"66.8","10/26/2003","10/26/2000"
"666","10/27/2017",65,"Donovan","06-073-1014","AQS",289,28,"69.2","10/27/2003","10/27/2004"
"667","10/28/2017",73,"Donovan","06-073-1014","AQS",143,23,"73.6","10/28/2007","10/28/2005"
"668","10/29/2017",61,"Donovan","06-073-1014","AQS",119,28,"61.2","10/29/2003","10/29/2000"
"669","10/30/2017",40,"Alpine","06-073-1006","AQS",79,25,"57.8","10/30/2007","10/30/2000"
"670","10/31/2017",26,"El Cajon - Lexington Elementary School","06-073-1022","AQS",98,26,"58.2","10/31/2019","10/31/2017"
"671","11/01/2017",26,"Alpine","06-073-1006","AQS",94,24,"49.4","11/01/2007","11/01/2003"
"672","11/02/2017",27,"El Cajon - Lexington Elementary School","06-073-1022","AQS",121,27,"46.6","11/02/2007","11/02/2017"
"673","11/03/2017",37,"Donovan","06-073-1014","AQS",129,21,"49.2","11/03/2002","11/03/2015"
"674","11/04/2017",36,"Camp Pendleton","06-073-1008","AQS",114,32,"57.2","11/04/2001","11/04/2015"
"675","11/05/2017",31,"Camp Pendleton","06-073-1008","AQS",117,31,"57.8","11/05/2001","11/05/2017"
"676","11/06/2017",38,"Donovan","06-073-1014","AQS",133,37,"59.4","11/06/2007","11/06/2014"
"677","11/07/2017",56,"Donovan","06-073-1014","AQS",134,35,"65","11/07/2003","11/07/2014"
"678","11/08/2017",45,"Donovan","06-073-1014","AQS",127,25,"64","11/08/2001","11/08/2002"
"679","11/09/2017",28,"El Cajon - Lexington Elementary School","06-073-1022","AQS",114,16,"53.2","11/09/2001","11/09/2002"
"680","11/10/2017",32,"Camp Pendleton","06-073-1008","AQS",88,29,"54.6","11/10/2009","11/10/2005"
"681","11/11/2017",44,"Donovan","06-073-1014","AQS",80,31,"61.8","11/11/2019","11/11/2010"
"682","11/12/2017",62,"Donovan","06-073-1014","AQS",91,43,"66.2","11/12/2019","11/12/2006"
"683","11/13/2017",74,"Donovan","06-073-1014","AQS",103,31,"68","11/13/2019","11/13/2001"
"684","11/14/2017",73,"Camp Pendleton","06-073-1008","AQS",106,32,"65","11/14/2005","11/14/2014"
"685","11/15/2017",65,"Camp Pendleton","06-073-1008","AQS",122,34,"64.8","11/15/2005","11/15/2014"
"686","11/16/2017",68,"Camp Pendleton","06-073-1008","AQS",97,38,"66.8","11/16/2001","11/16/2003"
"687","11/17/2017",58,"Camp Pendleton","06-073-1008","AQS",122,36,"61.2","11/17/2001","11/17/2014"
"688","11/18/2017",58,"Camp Pendleton","06-073-1008","AQS",130,33,"60.4","11/18/2001","11/18/2014"
"689","11/19/2017",58,"Donovan","06-073-1014","AQS",108,43,"63.2","11/19/2001","11/19/2011"
"690","11/20/2017",66,"Donovan","06-073-1014","AQS",126,24,"64.6","11/20/2007","11/20/2014"
"691","11/21/2017",71,"Camp Pendleton","06-073-1008","AQS",86,26,"55","11/21/2007","11/21/2014"
"692","11/22/2017",60,"Camp Pendleton","06-073-1008","AQS",86,39,"51.4","11/22/2002","11/22/2014"
"693","11/23/2017",55,"Camp Pendleton","06-073-1008","AQS",108,41,"55.4","11/23/2000","11/23/2013"
"694","11/24/2017",63,"Camp Pendleton","06-073-1008","AQS",108,35,"59.8","11/24/2000","11/24/2014"
