"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"03/13/2020","22","El Cajon - Lexington Elementary School","06-073-1022","AQS","85","31","57.2","03/13/2003","03/13/2006"
"03/14/2020","29","San Diego - Sherman Elementary School","06-073-1026","AQS","155","26","38.2","03/14/2009","03/14/2016"
"03/15/2020","37","Pala Airpad","06-073-1201","AQS","93","24","43.6","03/15/2000","03/15/2019"
"03/16/2020","35","Pala Airpad","06-073-1201","AQS","102","25","54.8","03/16/2004","03/16/2008"
"03/17/2020","39","Pala Airpad","06-073-1201","AQS","91","23","50.4","03/17/2000","03/17/2002"
"03/18/2020","22","El Cajon - Lexington Elementary School","06-073-1022","AQS","90","18","52.8","03/18/2004","03/18/2018"
"03/19/2020","22","San Diego - Sherman Elementary School","06-073-1026","AQS","109","24","53.6","03/19/2004","03/19/2005"
"03/20/2020","26","Pala Airpad","06-073-1201","AQS","111","29","52","03/20/2004","03/20/2007"
"03/21/2020","30","El Cajon - Lexington Elementary School","06-073-1022","AQS","113","18","46.2","03/21/2004","03/21/2017"
"03/22/2020","26","Pala Airpad","06-073-1201","AQS","106","23","39.8","03/22/2004","03/22/2017"
"03/23/2020","26","Pala Airpad","06-073-1201","AQS","72","20","38.8","03/23/2004","03/23/2005"
"03/24/2020","19","Pala Airpad","06-073-1201","AQS","90","21","40.4","03/24/2001","03/24/2005"
"03/25/2020","22","Pala Airpad","06-073-1201","AQS","76","27","45.8","03/25/2008","03/25/2017"
"03/26/2020","21","Pala Airpad","06-073-1201","AQS","80","25","48","03/26/2014","03/26/2012"
"03/27/2020","23","San Diego - Sherman Elementary School","06-073-1026","AQS","69","23","54.2","03/27/2019","03/27/2007"
"03/28/2020","37","San Diego - Sherman Elementary School","06-073-1026","AQS","89","29","54.4","03/28/2001","03/28/2010"
"03/29/2020","47","San Diego - Sherman Elementary School","06-073-1026","AQS","96","20","47.4","03/29/2001","03/29/2006"
"03/30/2020","58","Pala Airpad","06-073-1201","AQS","102","30","55.8","03/30/2001","03/30/2016"
"03/31/2020","60","Donovan","06-073-1014","AQS","93","26","56","03/31/2002","03/31/2006"
"04/01/2020","67","Donovan","06-073-1014","AQS","94","27","61.4","04/01/2002","04/01/2010"
"04/02/2020","62","Pala Airpad","06-073-1201","AQS","84","24","61.4","04/02/2002","04/02/2003"
"04/03/2020","66","Pala Airpad","06-073-1201","AQS","75","25","57.4","04/03/2002","04/03/2008"
"04/04/2020","69","Pala Airpad","06-073-1201","AQS","92","27","49.2","04/04/2000","04/04/2017"
"04/05/2020","64","Pala Airpad","06-073-1201","AQS","74","23","49.8","04/05/2000","04/05/2019"
"04/06/2020","47","Pala Airpad","06-073-1201","AQS","73","19","48.8","04/06/2000","04/06/2019"
"04/07/2020","13","Pala Airpad","06-073-1201","AQS","83","30","53.4","04/07/2000","04/07/2006"
"04/08/2020","15","El Cajon - Lexington Elementary School","06-073-1022","AQS","92","23","46.2","04/08/2000","04/08/2007"
"04/09/2020","18","Pala Airpad","06-073-1201","AQS","75","21","48.8","04/09/2002","04/09/2006"
"04/10/2020","24","El Cajon - Lexington Elementary School","06-073-1022","AQS","87","20","50","04/10/2002","04/10/2016"
"04/11/2020","24","San Diego - Sherman Elementary School","06-073-1026","AQS","65","27","51.6","04/11/2002","04/11/2012"
"04/12/2020","30","Pala Airpad","06-073-1201","AQS","74","20","50","04/12/2002","04/12/2001"
"04/13/2020","40","Pala Airpad","06-073-1201","AQS","70","15","53.8","04/13/2019","04/13/2003"
"04/14/2020","37","El Cajon - Lexington Elementary School","06-073-1022","AQS","82","20","48.8","04/14/2002","04/14/2000"
"04/15/2020","59","Pala Airpad","06-073-1201","AQS","75","21","57.8","04/15/2011","04/15/2006"
"04/16/2020","50","Pala Airpad","06-073-1201","AQS","74","14","56.4","04/16/2011","04/16/2006"
"04/17/2020","54","Pala Airpad","06-073-1201","AQS","66","20","48.8","04/17/2011","04/17/2000"
"04/18/2020","53","Pala Airpad","06-073-1201","AQS","67","18","49.4","04/18/2015","04/18/2017"
"04/19/2020","28","Pala Airpad","06-073-1201","AQS","64","16","47.4","04/19/2012","04/19/2017"
"04/20/2020","47","Pala Airpad","06-073-1201","AQS","72","23","55.8","04/20/2012","04/20/2007"
"04/21/2020","54","Pala Airpad","06-073-1201","AQS","81","27","54.4","04/21/2012","04/21/2001"
"04/22/2020","57","Pala Airpad","06-073-1201","AQS","78","17","50.2","04/22/2012","04/22/2006"
"04/23/2020","62","Donovan","06-073-1014","AQS","66","21","52.8","04/23/2017","04/23/2006"
"04/24/2020","65","Pala Airpad","06-073-1201","AQS","78","22","56.2","04/24/2019","04/24/2005"
"04/25/2020","75","Pala Airpad","06-073-1201","AQS","79","26","56","04/25/2019","04/25/2003"
"04/26/2020","73","Pala Airpad","06-073-1201","AQS","89","23","57.6","04/26/2014","04/26/2012"
"04/27/2020","60","Pala Airpad","06-073-1201","AQS","82","27","57.6","04/27/2001","04/27/2006"
"04/28/2020","63","Pala Airpad","06-073-1201","AQS","72","26","58.8","04/28/2013","04/28/2002"
"04/29/2020","74","Pala Airpad","06-073-1201","AQS","99","26","55.2","04/29/2014","04/29/2002"
"04/30/2020","75","Pala Airpad","06-073-1201","AQS","79","24","52.4","04/30/2001","04/30/2002"
"05/01/2020","69","Pala Airpad","06-073-1201","AQS","96","27","51.8","05/01/2001","05/01/2002"
"05/02/2020","71","Pala Airpad","06-073-1201","AQS","73","29","60.4","05/02/2017","05/02/2005"
"05/03/2020","71","Pala Airpad","06-073-1201","AQS","71","23","60","05/03/2019","05/03/2003"
"05/04/2020","68","Pala Airpad","06-073-1201","AQS","83","26","61","05/04/2019","05/04/2007"
"05/05/2020","64","Donovan","06-073-1014","AQS","82","19","54.8","05/05/2019","05/05/2008"
"05/06/2020","74","Donovan","06-073-1014","AQS","81","25","47.4","05/06/2011","05/06/2005"
"05/07/2020","80","Donovan","06-073-1014","AQS","77","21","37.4","05/07/2001","05/07/2008"
"05/08/2020","77","Donovan","06-073-1014","AQS","80","23","37","05/08/2012","05/08/2000"
"05/09/2020","83","Pala Airpad","06-073-1201","AQS","77","21","43.2","05/09/2012","05/09/2005"
"05/10/2020","77","Pala Airpad","06-073-1201","AQS","80","28","42.4","05/10/2001","05/10/2005"
"05/11/2020","66","Pala Airpad","06-073-1201","AQS","91","20","45.4","05/11/2001","05/11/2019"
"05/12/2020","62","Pala Airpad","06-073-1201","AQS","92","34","49.4","05/12/2001","05/12/2019"
"05/13/2020","52","Pala Airpad","06-073-1201","AQS","101","31","47.2","05/13/2014","05/13/2018"
"05/14/2020","36","Pala Airpad","06-073-1201","AQS","87","33","47","05/14/2014","05/14/2018"
"05/15/2020","48","Donovan","06-073-1014","AQS","75","25","40.8","05/15/2009","05/15/2015"
"05/16/2020","57","Pala Airpad","06-073-1201","AQS","84","20","43.6","05/16/2014","05/16/2000"
"05/17/2020","62","Pala Airpad","06-073-1201","AQS","86","32","38.4","05/17/2006","05/17/2018"
"05/18/2020","67","Pala Airpad","06-073-1201","AQS","71","30","40","05/18/2012","05/18/2017"
"05/19/2020","42","Pala Airpad","06-073-1201","AQS","74","32","46","05/19/2012","05/19/2015"
"05/20/2020","32","Pala Airpad","06-073-1201","AQS","159","21","42.6","05/20/2006","05/20/2002"
"05/21/2020","53","Donovan","06-073-1014","AQS","74","25","34.4","05/21/2012","05/21/2002"
"05/22/2020","55","Donovan","06-073-1014","AQS","81","20","36.4","05/22/2013","05/22/2006"
"05/23/2020","64","Pala Airpad","06-073-1201","AQS","77","21","36.8","05/23/2001","05/23/2015"
"05/24/2020","72","Pala Airpad","06-073-1201","AQS","73","25","39","05/24/2001","05/24/2016"
"05/25/2020","74","Pala Airpad","06-073-1201","AQS","65","20","31.2","05/25/2001","05/25/2016"
"05/26/2020","76","Pala Airpad","06-073-1201","AQS","74","18","31.4","05/26/2005","05/26/2017"
"05/27/2020","73","Pala Airpad","06-073-1201","AQS","67","14","33.8","05/27/2009","05/27/2017"
"05/28/2020","67","Pala Airpad","06-073-1201","AQS","67","27","40.6","05/28/2009","05/28/2017"
"05/29/2020","57","Pala Airpad","06-073-1201","AQS","62","26","50.2","05/29/2003","05/29/2008"
"05/30/2020","47","Pala Airpad","06-073-1201","AQS","68","35","54.4","05/30/2015","05/30/2009"
"05/31/2020","33","Pala Airpad","06-073-1201","AQS","86","30","53","05/31/2001","05/31/2009"
"06/01/2020","45","Camp Pendleton","06-073-1008","AQS","181","30","49.6","06/01/2010","06/01/2017"
"06/02/2020","62","Donovan","06-073-1014","AQS","68","27","52.2","06/02/2013","06/02/2005"
"06/03/2020","66","Pala Airpad","06-073-1201","AQS","63","35","53","06/03/2016","06/03/2001"
"06/04/2020","75","Pala Airpad","06-073-1201","AQS","65","25","51.6","06/04/2016","06/04/2008"
"06/05/2020","78","Pala Airpad","06-073-1201","AQS","85","17","54.2","06/05/2002","06/05/2009"
"06/06/2020","53","Pala Airpad","06-073-1201","AQS","91","19","47.8","06/06/2001","06/06/2009"
"06/07/2020","44","Pala Airpad","06-073-1201","AQS","76","22","48.2","06/07/2001","06/07/2009"
"06/08/2020","53","Pala Airpad","06-073-1201","AQS","79","27","52.4","06/08/2001","06/08/2000"
"06/09/2020","59","Donovan","06-073-1014","AQS","76","21","51.4","06/09/2001","06/09/2003"
"06/10/2020","92","Donovan","06-073-1014","AQS","76","21","51.8","06/10/2019","06/10/2003"
"06/11/2020","84","Donovan","06-073-1014","AQS","70","26","44.6","06/11/2012","06/11/2017"
"06/12/2020","58","Donovan","06-073-1014","AQS","67","0","46.4","06/12/2012","06/12/2000"
"06/13/2020","46","Donovan","06-073-1014","AQS","80","28","44.6","06/13/2006","06/13/2015"
"06/14/2020","56","Pala Airpad","06-073-1201","AQS","81","33","52.6","06/14/2000","06/14/2015"
"06/15/2020","57","Pala Airpad","06-073-1201","AQS","84","28","57","06/15/2010","06/15/2009"
"06/16/2020","60","Pala Airpad","06-073-1201","AQS","75","15","60","06/16/2010","06/16/2008"
"06/17/2020","60","Pala Airpad","06-073-1201","AQS","85","31","62.4","06/17/2003","06/17/2005"
"06/18/2020","64","Pala Airpad","06-073-1201","AQS","97","24","54.2","06/18/2016","06/18/2005"
"06/19/2020","58","Pala Airpad","06-073-1201","AQS","92","31","56.2","06/19/2002","06/19/2005"
"06/20/2020","63","Pala Airpad","06-073-1201","AQS","74","34","60.8","06/20/2016","06/20/2003"
"06/21/2020","60","Pala Airpad","06-073-1201","AQS","76","32","55.6","06/21/2002","06/21/2008"
"06/22/2020","57","Pala Airpad","06-073-1201","AQS","67","24","51.2","06/22/2011","06/22/2019"
"06/23/2020","57","Pala Airpad","06-073-1201","AQS","68","34","50.6","06/23/2008","06/23/2019"
"06/24/2020","54","Pala Airpad","06-073-1201","AQS","70","41","56.6","06/24/2010","06/24/2017"
"06/25/2020","54","Pala Airpad","06-073-1201","AQS","69","36","59.8","06/25/2016","06/25/2005"
"06/26/2020","48","Pala Airpad","06-073-1201","AQS","75","22","61.6","06/26/2017","06/26/2010"
"06/27/2020","58","Pala Airpad","06-073-1201","AQS","95","27","58.2","06/27/2001","06/27/2010"
"06/28/2020","57","Pala Airpad","06-073-1201","AQS","69","29","50.2","06/28/2008","06/28/2001"
"06/29/2020","38","Pala Airpad","06-073-1201","AQS","66","25","53.6","06/29/2009","06/29/2010"
"06/30/2020","46","El Cajon - Lexington Elementary School","06-073-1022","AQS","76","31","62.8","06/30/2001","06/30/2011"
"07/01/2020","62","Pala Airpad","06-073-1201","AQS","77","18","60.8","07/01/2010","07/01/2004"
"07/02/2020","64","Pala Airpad","06-073-1201","AQS","76","29","52.2","07/02/2008","07/02/2018"
"07/03/2020","59","Pala Airpad","06-073-1201","AQS","93","36","50.2","07/03/2008","07/03/2002"
"07/04/2020","62","Pala Airpad","06-073-1201","AQS","107","34","51","07/04/2008","07/04/2015"
"07/05/2020","61","Pala Airpad","06-073-1201","AQS","117","25","52.2","07/05/2008","07/05/2015"
"07/06/2020","67","Donovan","06-073-1014","AQS","82","22","49.8","07/06/2008","07/06/2013"
"07/07/2020","71","Pala Airpad","06-073-1201","AQS","81","30","55.6","07/07/2008","07/07/2013"
"07/08/2020","85","Donovan","06-073-1014","AQS","80","33","61","07/08/2008","07/08/2004"
"07/09/2020","80","Pala Airpad","06-073-1201","AQS","79","30","58","07/09/2008","07/09/2004"
"07/10/2020","67","Pala Airpad","06-073-1201","AQS","65","27","54.2","07/10/2019","07/10/2015"
"07/11/2020","65","Pala Airpad","06-073-1201","AQS","73","18","52","07/11/2012","07/11/2015"
"07/12/2020","64","Pala Airpad","06-073-1201","AQS","72","25","50.8","07/12/2012","07/12/2015"
"07/13/2020","61","El Cajon - Lexington Elementary School","06-073-1022","AQS","75","36","55.2","07/13/2012","07/13/2007"
"07/14/2020","79","Pala Airpad","06-073-1201","AQS","75","37","55","07/14/2019","07/14/2017"
"07/15/2020","70","Pala Airpad","06-073-1201","AQS","74","40","59.6","07/15/2019","07/15/2000"
"07/16/2020","60","Pala Airpad","06-073-1201","AQS","73","39","58.4","07/16/2019","07/16/2001"
"07/17/2020","53","Pala Airpad","06-073-1201","AQS","73","34","55.4","07/17/2003","07/17/2014"
"07/18/2020","51","Pala Airpad","06-073-1201","AQS","64","24","51.8","07/18/2019","07/18/2014"
"07/19/2020","52","Pala Airpad","06-073-1201","AQS","65","28","50.6","07/19/2000","07/19/2014"
"07/20/2020","54","Pala Airpad","06-073-1201","AQS","70","25","48","07/20/2000","07/20/2015"
"07/21/2020","62","Pala Airpad","06-073-1201","AQS","75","10","42.6","07/21/2000","07/21/2015"
"07/22/2020","63","Pala Airpad","06-073-1201","AQS","74","18","46.6","07/22/2016","07/22/2015"
"07/23/2020","61","Pala Airpad","06-073-1201","AQS","68","25","49.4","07/23/2016","07/23/2015"
"07/24/2020","55","Pala Airpad","06-073-1201","AQS","68","38","53","07/24/2006","07/24/2013"
"07/25/2020","42","Pala Airpad","06-073-1201","AQS","79","30","54.4","07/25/2008","07/25/2013"
"07/26/2020","52","Pala Airpad","06-073-1201","AQS","73","30","54.4","07/26/2008","07/26/2017"
"07/27/2020","62","Pala Airpad","06-073-1201","AQS","71","40","54","07/27/2018","07/27/2015"
"07/28/2020","68","Pala Airpad","06-073-1201","AQS","71","28","56.4","07/28/2008","07/28/2006"
"07/29/2020","65","Pala Airpad","06-073-1201","AQS","69","19","60.8","07/29/2019","07/29/2006"
"07/30/2020","68","Pala Airpad","06-073-1201","AQS","77","17","60.8","07/30/2019","07/30/2006"
"07/31/2020","71","Pala Airpad","06-073-1201","AQS","76","21","58.6","07/31/2019","07/31/2006"
"08/01/2020","72","Pala Airpad","06-073-1201","AQS","78","32","55.8","08/01/2019","08/01/2006"
"08/02/2020","77","Pala Airpad","06-073-1201","AQS","72","35","54","08/02/2019","08/02/2006"
"08/03/2020","73","Pala Airpad","06-073-1201","AQS","69","33","55.4","08/03/2019","08/03/2003"
"08/04/2020","72","Pala Airpad","06-073-1201","AQS","62","32","55.4","08/04/2002","08/04/2006"
"08/05/2020","69","Pala Airpad","06-073-1201","AQS","65","34","56.6","08/05/2008","08/05/2014"
"08/06/2020","64","Pala Airpad","06-073-1201","AQS","66","35","59.4","08/06/2018","08/06/2007"
"08/07/2020","59","Pala Airpad","06-073-1201","AQS","75","34","58.4","08/07/2019","08/07/2009"
"08/08/2020","58","Pala Airpad","06-073-1201","AQS","71","36","62","08/08/2019","08/08/2013"
"08/09/2020","62","Pala Airpad","06-073-1201","AQS","73","44","62","08/09/2002","08/09/2010"
"08/10/2020","62","Pala Airpad","06-073-1201","AQS","73","46","61","08/10/2018","08/10/2008"
"08/11/2020","61","Pala Airpad","06-073-1201","AQS","71","40","54.6","08/11/2002","08/11/2015"
"08/12/2020","63","Pala Airpad","06-073-1201","AQS","76","40","51.6","08/12/2002","08/12/2015"
"08/13/2020","71","Pala Airpad","06-073-1201","AQS","79","41","53.2","08/13/2002","08/13/2018"
"08/14/2020","70","Donovan","06-073-1014","AQS","82","32","58.4","08/14/2002","08/14/2014"
"08/15/2020","65","Donovan","06-073-1014","AQS","82","30","54.8","08/15/2002","08/15/2014"
"08/16/2020","75","Pala Airpad","06-073-1201","AQS","101","38","56.8","08/16/2008","08/16/2014"
"08/17/2020","72","Pala Airpad","06-073-1201","AQS","74","33","60.4","08/17/2002","08/17/2014"
"08/18/2020","76","Pala Airpad","06-073-1201","AQS","77","44","61","08/18/2009","08/18/2005"
"08/19/2020","75","Pala Airpad","06-073-1201","AQS","74","35","56.4","08/19/2009","08/19/2005"
"08/20/2020","74","Pala Airpad","06-073-1201","AQS","74","34","55.6","08/20/2018","08/20/2008"
"08/21/2020","82","Pala Airpad","06-073-1201","AQS","84","36","64.8","08/21/2018","08/21/2004"
"08/22/2020","88","Pala Airpad","06-073-1201","AQS","89","28","67.2","08/22/2018","08/22/2004"
"08/23/2020","77","Pala Airpad","06-073-1201","AQS","97","23","62","08/23/2013","08/23/2004"
"08/24/2020","60","Pala Airpad","06-073-1201","AQS","93","21","69.6","08/24/2018","08/24/2004"
"08/25/2020","74","Pala Airpad","06-073-1201","AQS","110","29","73.4","08/25/2018","08/25/2014"
"08/26/2020","79","Pala Airpad","06-073-1201","AQS","142","37","82","08/26/2018","08/26/2004"
"08/27/2020","63","Pala Airpad","06-073-1201","AQS","91","35","65.8","08/27/2018","08/27/2004"
"08/28/2020","68","Pala Airpad","06-073-1201","AQS","83","43","65","08/28/2018","08/28/2007"
"08/29/2020","90","Pala Airpad","06-073-1201","AQS","80","37","69.2","08/29/2017","08/29/2000"
"08/30/2020","59","Pala Airpad","06-073-1201","AQS","88","34","64.4","08/30/2017","08/30/2000"
"08/31/2020","58","Pala Airpad","06-073-1201","AQS","76","31","64.6","08/31/2017","08/31/2000"
"09/01/2020","59","Pala Airpad","06-073-1201","AQS","77","32","66.8","09/01/2018","09/01/2013"
"09/02/2020","60","Pala Airpad","06-073-1201","AQS","74","28","64.6","09/02/2018","09/02/2000"
"09/03/2020","65","Pala Airpad","06-073-1201","AQS","72","25","54","09/03/2010","09/03/2000"
"09/04/2020","73","Donovan","06-073-1014","AQS","64","33","56.6","09/04/2017","09/04/2000"
"09/05/2020","94","Donovan","06-073-1014","AQS","76","46","58.2","09/05/2002","09/05/2000"
"09/06/2020","105","Pala Airpad","06-073-1201","AQS","68","39","57","09/06/2008","09/06/2018"
"09/07/2020","119","Pala Airpad","06-073-1201","AQS","71","38","59","09/07/2008","09/07/2002"
"09/08/2020","104","Pala Airpad","06-073-1201","AQS","71","40","61.6","09/08/2008","09/08/2007"
"09/09/2020","74","Pala Airpad","06-073-1201","AQS","76","31","66","09/09/2015","09/09/2010"
"09/10/2020","92","Pala Airpad","06-073-1201","AQS","62","36","59.2","09/10/2018","09/10/2005"
"09/11/2020","99","Donovan","06-073-1014","AQS","67","36","60.4","09/11/2000","09/11/2005"
"09/12/2020","138","San Diego - Sherman Elementary School","06-073-1026","AQS","80","34","57.4","09/12/2000","09/12/2005"
"09/13/2020","161","Pala Airpad","06-073-1201","AQS","80","39","50.4","09/13/2000","09/13/2016"
"09/14/2020","172","Pala Airpad","06-073-1201","AQS","85","29","50.2","09/14/2008","09/14/2009"
"09/15/2020","162","Pala Airpad","06-073-1201","AQS","85","15","46","09/15/2008","09/15/2015"
"09/16/2020","163","Pala Airpad","06-073-1201","AQS","77","22","50","09/16/2000","09/16/2015"
"09/17/2020","163","Pala Airpad","06-073-1201","AQS","75","28","53.2","09/17/2008","09/17/2015"
"09/18/2020","124","Pala Airpad","06-073-1201","AQS","78","37","55.8","09/18/2008","09/18/2014"
"09/19/2020","81","Donovan","06-073-1014","AQS","86","20","55.2","09/19/2011","09/19/2014"
"09/20/2020","83","Pala Airpad","06-073-1201","AQS","77","25","56.2","09/20/2001","09/20/2007"
"09/21/2020","79","Pala Airpad","06-073-1201","AQS","76","25","58.2","09/21/2001","09/21/2007"
"09/22/2020","83","Pala Airpad","06-073-1201","AQS","81","20","57.8","09/22/2012","09/22/2007"
